price,time
62868.0,2026-06-19 01:48:49.580720
62813.0,2026-06-18 22:58:29.717193
63046.0,2026-06-18 20:32:22.459403
62432.0,2026-06-18 17:17:39.946097
64289.0,2026-06-18 13:32:11.255318
64407.0,2026-06-18 09:19:55.010050
63945.0,2026-06-18 04:27:31.158283
64371.0,2026-06-17 23:43:10.383068
64302.0,2026-06-17 21:13:00.533771
65328.0,2026-06-17 18:28:59.595957
65426.0,2026-06-17 15:47:25.457723
64785.0,2026-06-17 11:54:12.472682
65818.0,2026-06-17 06:20:07.596271
65715.0,2026-06-17 00:22:22.699357
65668.0,2026-06-16 22:54:48.862786
65623.0,2026-06-16 20:13:27.492676
65857.0,2026-06-16 16:00:51.599445
66560.0,2026-06-16 10:19:31.586102
65815.0,2026-06-16 05:00:06.849693
66243.0,2026-06-15 23:50:02.592703
66419.0,2026-06-15 21:11:03.319247
66795.0,2026-06-15 17:22:13.618256
65996.0,2026-06-15 11:20:37.673610
65624.0,2026-06-15 04:59:30.528313
